generos,data_lancamento,avaliacao_usuarios,receita,classificacao,titulo,streaming
"Any[""Ação"", ""Aventura"", ""Thriller""]",2023-01-12,7.0,51000000,14,Alerta Máximo,"[""Amazon Prime Video""]"
"Any[""Faroeste""]",1966-12-23,8.5,38900000,14,Três Homens em Conflito,"[""Looke"", ""Oldflix"", ""MGM Amazon Channel"", ""Telecine Play""]"
"Any[""Drama"", ""Música""]",2014-10-10,8.4,13092000,12,Whiplash: Em Busca da Perfeição,"[""Amazon Prime Video"", ""Netflix"", ""Oi Play"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Animação"", ""Família"", ""Fantasia"", ""Romance""]",1950-02-22,7.0,263600000,L,Cinderela,"[""Disney Plus"", ""Looke""]"
"Any[""Terror""]",2023-10-01,7.0,0,Sem classificação,Oracle,"[""Sem informações de streaming""]"
"Any[""Drama""]",2021-03-17,7.7,0,Sem classificação,A Vida Depois,"[""HBO Max""]"
"Any[""Família"", ""Fantasia"", ""Cinema TV""]",1998-09-08,6.0,0,Sem classificação,Gasparzinho e Wendy,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Fantasia""]",2011-04-21,6.8,449326618,10,Thor,"[""Disney Plus""]"
"Any[""Animação"", ""Fantasia"", ""Romance""]",2005-09-12,7.5,118100000,,A Noiva Cadáver,"[""HBO Max"", ""NOW""]"
"Any[""Comédia"", ""Família"", ""Fantasia"", ""Terror""]",2023-07-26,6.6,117300000,12,Mansão Mal-Assombrada,"[""Disney Plus""]"
"Any[""Mistério"", ""Ficção científica"", ""Thriller""]",2023-04-21,5.2,0,Sem classificação,War of the Worlds : The Attack,"[""Sem informações de streaming""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2022-01-12,6.7,137700000,16,Pânico,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Comédia""]",1990-03-09,6.4,26386000,Sem classificação,Uma Festa de Arromba,"[""Sem informações de streaming""]"
"Any[""Crime"", ""Mistério"", ""Thriller""]",1995-09-22,8.4,327311859,14,Seven: Os Sete Crimes Capitais,"[""HBO Max""]"
"Any[""Drama""]",1978-04-20,4.7,0,Sem classificação,La via della prostituzione,"[""Sem informações de streaming""]"
"Any[""Drama""]",1981-12-25,5.4,0,Sem classificação,天使のはらわた 赤い淫画,"[""Sem informações de streaming""]"
"Any[""Drama"", ""História"", ""Guerra""]",1993-12-15,8.6,321365567,14,A Lista de Schindler,"[""Globoplay"", ""NOW"", ""Univer Video""]"
"Any[""Ação"", ""Aventura"", ""Comédia""]",2019-08-01,6.9,760098996,14,Velozes & Furiosos: Hobbs & Shaw,"[""Sem informações de streaming""]"
"Any[""Drama"", ""História"", ""Guerra""]",2008-05-07,7.9,20416563,12,O Menino do Pijama Listrado,"[""Globoplay"", ""Univer Video"", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2017-04-19,7.6,863756051,12,Guardiões da Galáxia - Vol. 2,"[""Disney Plus""]"
"Any[""Ação"", ""Drama"", ""Ficção científica""]",2011-09-28,7.0,299268508,10,Gigantes de Aço,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama"", ""Ficção científica""]",2017-02-28,7.8,619021436,16,Logan,"[""Disney Plus"", ""Star Plus""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2019-06-19,7.5,1073394593,L,Toy Story 4,"[""Disney Plus""]"
"Any[""Ação"", ""Aventura"", ""Fantasia""]",2007-05-01,6.4,894983373,10,Homem-Aranha 3,"[""Disney Plus"", ""Amazon Prime Video"", ""Netflix"", ""Claro video"", ""Paramount Plus"", ""HBO Max"", ""NOW"", ""Paramount+ Amazon Channel"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Ação"", ""Drama""]",2023-01-16,6.6,159959,Sem classificação,Sakra,"[""Sem informações de streaming""]"
"Any[""Crime"", ""Cinema TV"", ""Thriller""]",2021-02-27,7.7,0,Sem classificação,Torturada Pelo Próprio Pai,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica"", ""Thriller""]",2018-01-10,7.1,288175335,12,Maze Runner: A Cura Mortal,"[""Star Plus""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2015-12-15,7.3,2068223624,12,Star Wars: O Despertar da Força,"[""Disney Plus""]"
"Any[""Ação"", ""Terror"", ""Ficção científica""]",2018-08-09,6.3,530517320,14,Megatubarão,"[""Amazon Prime Video"", ""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Comédia"", ""Romance""]",1983-07-22,5.9,0,Sem classificação,Sechs Schwedinnen auf der Alm,"[""Sem informações de streaming""]"
"Any[""Fantasia"", ""Terror""]",2019-03-02,5.8,0,Sem classificação,A Mulher do Lago,"[""Looke"", ""Looke Amazon Channel""]"
"Any[""Comédia""]",2023-10-20,5.3,0,Sem classificação,Tripped Up,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Família"", ""Fantasia""]",1971-06-29,7.5,4000000,L,A Fantástica Fábrica de Chocolate,"[""HBO Max"", ""Oldflix"", ""NOW""]"
"Any[""Ação"", ""Crime"", ""Terror"", ""Thriller""]",2022-09-21,6.4,0,Sem classificação,Projeto Caça ao Lobo,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama"", ""Ficção científica""]",2014-05-14,6.3,529100000,12,Godzilla,"[""HBO Max""]"
"Any[""Aventura"", ""Comédia"", ""Ficção científica""]",2021-08-11,7.5,331526598,12,Free Guy: Assumindo o Controle,"[""Star Plus""]"
"Any[""Ação"", ""Aventura"", ""Guerra""]",2023-07-28,7.5,0,Sem classificação,キングダム 運命の炎,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2018-06-27,6.9,75836683,16,Sicário: Dia do Soldado,"[""Paramount Plus Apple TV Channel ""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica"", ""Thriller""]",2015-06-06,6.7,1671537444,12,Jurassic World: O Mundo dos Dinossauros,"[""Amazon Prime Video"", ""Netflix"", ""Star Plus"", ""Globoplay"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Animação"", ""Drama"", ""Fantasia"", ""Mistério""]",2022-12-23,6.8,0,Sem classificação,かがみの孤城,"[""Sem informações de streaming""]"
"Any[""Terror"", ""Ficção científica""]",1986-09-23,4.9,0,Sem classificação,美女のはらわた,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2015-04-01,7.2,1515341399,14,Velozes & Furiosos 7,"[""Globoplay"", ""Telecine Play""]"
"Any[""Comédia"", ""Drama"", ""Romance""]",2023-10-19,7.2,0,Sem classificação,A Outra Zoey,"[""Amazon Prime Video""]"
"Any[""Comédia""]",2000-07-07,6.4,278019771,16,Todo Mundo em Pânico,"[""Netflix"", ""Paramount Plus"", ""Globoplay"", ""Paramount+ Amazon Channel"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Comédia""]",2012-06-14,5.8,58100000,12,Este é o Meu Garoto,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2017-11-15,6.1,657926987,12,Liga da Justiça,"[""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Ação"", ""Animação"", ""Fantasia""]",2020-04-12,8.1,0,Sem classificação,Mortal Kombat Legends: A Vingança de Scorpion,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Fantasia""]",2009-12-26,7.1,93621340,Sem classificação,Um Olhar do Paraíso,"[""Paramount Plus"", ""NOW"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Comédia"", ""Crime"", ""Drama""]",1992-09-09,6.9,105232691,,Quebra de Sigilo,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Comédia"", ""Família""]",2007-07-25,7.0,527068851,12,Os Simpsons: O Filme,"[""Disney Plus"", ""Star Plus""]"
"Any[""Ação"", ""Crime"", ""Drama""]",2022-04-09,6.8,0,Sem classificação,军火大劫案,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2022-02-03,6.4,67295363,14,Moonfall: Ameaça Lunar,"[""HBO Max"", ""Oi Play""]"
"Any[""Ação"", ""Aventura"", ""Thriller""]",2010-08-03,6.2,274470394,16,Os Mercenários,"[""Globoplay"", ""NOW"", ""KinoPop"", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2023-03-02,6.1,55000000,12,65: Ameaça Pré-Histórica,"[""HBO Max"", ""Oi Play""]"
"Any[""Ação"", ""Animação"", ""Fantasia""]",2019-03-29,7.9,0,Sem classificação,鬼滅の刃 兄妹の絆,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Família"", ""Fantasia"", ""Romance""]",2015-03-06,6.8,543514353,L,Cinderela,"[""Disney Plus""]"
"Any[""Ação"", ""Aventura"", ""Drama""]",1986-05-16,7.0,356830601,12,Top Gun - Ases Indomáveis,"[""Star Plus"", ""HBO Max"", ""Globoplay"", ""NOW"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Comédia""]",2004-04-30,7.2,130126277,12,Meninas Malvadas,"[""Netflix"", ""Paramount Plus"", ""Globoplay"", ""NOW"", ""Paramount+ Amazon Channel"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Thriller""]",2021-12-22,6.8,125900000,16,King's Man: A Origem,"[""Star Plus""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família""]",2021-07-01,7.4,146745280,L,O Poderoso Chefinho 2: Negócios da Família,"[""Star Plus"", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Fantasia""]",2017-05-23,6.6,795900000,12,Piratas do Caribe: A Vingança de Salazar,"[""Disney Plus""]"
"Any[""Drama"", ""Romance""]",2023-06-02,7.9,15348213,Sem classificação,Vidas Passadas,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Comédia""]",2023-11-17,6.5,0,Sem classificação,Please Don't Destroy: The Treasure of Foggy Mountain,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Romance""]",1998-11-05,5.3,0,Sem classificação,La seconda moglie,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2023-08-04,5.8,0,Sem classificação,Mob Land,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Família"", ""Fantasia""]",2009-11-04,6.9,325300000,L,Os Fantasmas de Scrooge,"[""Disney Plus""]"
"Any[""Drama"", ""Ficção científica"", ""Guerra""]",2017-07-11,7.2,490719763,14,Planeta dos Macacos: A Guerra,"[""Star Plus""]"
"Any[""Ação"", ""Drama"", ""História""]",2022-09-16,7.7,97300000,16,A Mulher Rei,"[""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Drama"", ""Romance""]",2009-10-25,5.3,146685,Sem classificação,Castelos de Papel,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Drama""]",1983-12-09,8.2,66023329,18,Scarface,"[""Claro video"", ""Telecine Play""]"
"Any[""Ação"", ""Drama"", ""Guerra""]",2022-05-03,7.6,0,Sem classificação,Corvo Branco,"[""Looke"", ""NOW"", ""Looke Amazon Channel""]"
"Any[""Comédia"", ""Terror"", ""Ficção científica""]",2023-09-28,6.9,0,Sem classificação,Dezesseis Facadas,"[""Amazon Prime Video""]"
"Any[""Crime"", ""Drama"", ""Thriller""]",2019-10-01,8.2,1074458282,16,Coringa,"[""Amazon Prime Video"", ""HBO Max"", ""NOW"", ""Oi Play"", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2014-06-25,5.9,1104054072,12,Transformers: A Era da Extinção,"[""Amazon Prime Video"", ""Netflix"", ""Star Plus"", ""Paramount Plus"", ""Globoplay"", ""Paramount+ Amazon Channel"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
Any[],2018-09-12,0.0,0,Sem classificação,RSC Live: The Merry Wives of Windsor,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Crime""]",2006-08-31,5.9,101595121,Sem classificação,O Pequenino,"[""Netflix"", ""Paramount Plus"", ""Paramount+ Amazon Channel"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Terror"", ""Thriller""]",2016-07-20,7.8,87547518,14,Invasão Zumbi,"[""Netflix"", ""NOW"", ""Netflix basic with Ads""]"
"Any[""Comédia"", ""Drama""]",2022-12-22,7.4,63363579,18,Babilônia,"[""Paramount Plus"", ""Globoplay"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica"", ""Thriller""]",2015-09-09,6.7,312296056,14,Maze Runner: Prova de Fogo,"[""Star Plus""]"
"Any[""Ação"", ""Crime""]",1983-08-31,4.3,0,Sem classificação,Blade Violent - I violenti,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama"", ""Faroeste""]",2023-04-02,6.3,0,Sem classificação,Cercados,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2021-07-07,7.3,379751131,12,Viúva Negra,"[""Disney Plus""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2017-10-25,6.2,102952888,18,Jogos Mortais: Jigsaw,"[""Amazon Prime Video"", ""Netflix"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Comédia"", ""Família"", ""Fantasia""]",2023-11-29,6.3,0,Sem classificação,A Batalha de Natal,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2018-03-28,7.6,607274134,12,Jogador N° 1,"[""Amazon Prime Video"", ""HBO Max""]"
"Any[""Comédia""]",2013-07-11,6.1,247022278,12,Gente Grande 2,"[""Amazon Prime Video"", ""Netflix"", ""Claro video"", ""HBO Max"", ""Globoplay"", ""NOW"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Crime"", ""Drama"", ""Thriller""]",2012-07-17,7.8,1081041287,12,Batman: O Cavaleiro das Trevas Ressurge,"[""HBO Max""]"
"Any[""Aventura"", ""Mistério"", ""Ficção científica""]",2012-05-30,6.5,403354469,14,Prometheus,"[""Star Plus""]"
"Any[""Ação"", ""Mistério"", ""Ficção científica"", ""Thriller""]",2023-03-16,5.7,0,Sem classificação,Awareness,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Terror"", ""Thriller""]",2023-05-26,6.5,0,Sem classificação,A Fúria de Becky,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Família"", ""Fantasia""]",2021-03-03,7.9,130423032,L,Raya e o Último Dragão,"[""Disney Plus""]"
"Any[""Ação"", ""Aventura"", ""Drama""]",2018-07-25,7.0,41142379,12,Mentes Sombrias,"[""Star Plus""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Família""]",1998-10-24,6.9,0,A,O Rei Leão II: O Reino de Simba,"[""Disney Plus""]"
"Any[""Animação"", ""Família"", ""Ficção científica""]",2008-06-22,8.1,521311860,L,WALL-E,"[""Disney Plus""]"
"Any[""Crime"", ""Drama"", ""Fantasia""]",1999-12-10,8.5,286801374,14,À Espera de um Milagre,"[""Amazon Prime Video"", ""NOW""]"
"Any[""Aventura"", ""Drama"", ""Fantasia"", ""Romance""]",2010-06-23,6.2,698491347,12,A Saga Crepúsculo: Eclipse,"[""Globoplay"", ""NOW"", ""Lionsgate Plus"", ""Telecine Play""]"
"Any[""Terror"", ""Mistério"", ""Ficção científica"", ""Thriller""]",2017-03-22,6.4,100541806,12,Vida,"[""Amazon Prime Video"", ""Oi Play""]"
"Any[""Romance""]",2020-11-13,3.0,0,Sem classificação,여자친구의 맛 2,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Romance""]",2021-09-09,6.4,0,Sem classificação,"FBI: Feos, Bobos e Ingenuos","[""Sem informações de streaming""]"
"Any[""Drama"", ""Romance""]",2022-04-01,6.1,0,Sem classificação,Coincidências da Vida e Grandes Amores,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Comédia"", ""Família""]",2013-06-26,6.9,970761885,L,Meu Malvado Favorito 2,"[""Globoplay"", ""NOW"", ""Telecine Play""]"
"Any[""Ação"", ""Drama"", ""Ficção científica""]",2014-05-14,6.3,529100000,12,Godzilla,"[""HBO Max""]"
"Any[""Ação"", ""Ficção científica"", ""Thriller""]",2020-08-22,7.2,365304105,14,Tenet,"[""Amazon Prime Video"", ""HBO Max"", ""Oi Play""]"
"Any[""Drama"", ""Guerra""]",2022-10-07,7.7,0,Sem classificação,Nada de Novo no Front,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Drama"", ""Romance""]",2017-02-28,5.8,0,Sem classificação,사촌여동생,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Drama""]",2022-04-09,6.8,0,Sem classificação,军火大劫案,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Drama"", ""Fantasia"", ""Mistério""]",2022-12-23,6.8,0,Sem classificação,かがみの孤城,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2023-08-04,5.8,0,Sem classificação,Mob Land,"[""Sem informações de streaming""]"
"Any[""Mistério"", ""Romance"", ""Thriller""]",2022-06-29,7.4,16914773,Sem classificação,Decisão de Partir,"[""Sem informações de streaming""]"
"Any[""Drama""]",2023-11-16,6.6,0,Sem classificação,Elena Sabe,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2006-06-28,5.7,391081192,10,Superman: O Retorno,"[""HBO Max""]"
"Any[""Crime"", ""Drama"", ""Thriller""]",2019-10-01,8.2,1074458282,16,Coringa,"[""Amazon Prime Video"", ""HBO Max"", ""NOW"", ""Oi Play"", ""Telecine Play""]"
"Any[""Animação"", ""Comédia"", ""Família""]",2010-07-08,7.2,533679475,L,Meu Malvado Favorito,"[""Globoplay"", ""NOW"", ""Telecine Play""]"
"Any[""Crime"", ""Drama"", ""Thriller""]",1990-12-25,7.4,136766062,14,O Poderoso Chefão: Parte III,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Ficção científica"", ""Thriller""]",2021-09-09,6.6,0,Sem classificação,Infinito,"[""Paramount Plus Apple TV Channel ""]"
"Any[""Aventura"", ""Comédia""]",1983-07-29,7.1,61399552,14,Férias Frustradas,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Drama""]",2010-08-26,5.3,0,Sem classificação,Китайская бабушка,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família""]",2022-01-28,6.7,0,Sem classificação,A Era do Gelo: As Aventuras de Buck,"[""Disney Plus""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Família""]",1998-10-24,6.9,0,A,O Rei Leão II: O Reino de Simba,"[""Disney Plus""]"
"Any[""Ação"", ""Aventura"", ""Thriller""]",2010-08-03,6.2,274470394,16,Os Mercenários,"[""Globoplay"", ""NOW"", ""KinoPop"", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Comédia"", ""Família""]",2008-06-04,7.2,631744560,L,Kung Fu Panda,"[""Amazon Prime Video"", ""Paramount Plus"", ""HBO Max"", ""Globoplay"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Drama""]",1981-06-21,0.0,0,Sem classificação,モーニング・ムーンは粗雑に,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica"", ""Thriller""]",2018-06-06,6.6,1310466296,12,Jurassic World: Reino Ameaçado,"[""Amazon Prime Video"", ""Netflix"", ""Star Plus"", ""Globoplay"", ""Netflix basic with Ads""]"
"Any[""Aventura"", ""Animação"", ""Comédia""]",2022-03-24,7.2,7523353,L,Os Peludos,"[""Sem informações de streaming""]"
"Any[""Crime"", ""Drama"", ""Thriller""]",1990-12-25,7.4,136766062,14,O Poderoso Chefão: Parte III,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Família"", ""Fantasia""]",2012-11-21,7.4,306941670,L,A Origem dos Guardiões,"[""Amazon Prime Video"", ""Globoplay""]"
"Any[""Animação"", ""Comédia"", ""Família""]",2010-06-16,7.8,1066969703,L,Toy Story 3,"[""Disney Plus""]"
"Any[""Comédia"", ""Fantasia"", ""Terror""]",2015-11-26,6.1,61788393,,Krampus: O Terror do Natal,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Guerra""]",2022-10-07,7.7,0,Sem classificação,Nada de Novo no Front,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Animação"", ""Música""]",2023-05-20,9.5,0,Sem classificação,IDOLiSH7 the Movie LIVE 4bit BEYOND THE PERiOD,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Drama"", ""Thriller""]",2023-11-16,7.3,6200000,Sem classificação,Saltburn,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família""]",2009-06-26,6.7,886686817,L,A Era do Gelo 3,"[""Disney Plus""]"
"Any[""Animação"", ""Comédia"", ""Família""]",2007-03-23,6.9,169332978,L,A Família do Futuro,"[""Disney Plus""]"
"Any[""Animação"", ""Comédia"", ""Família""]",2010-07-08,7.2,533679475,L,Meu Malvado Favorito,"[""Globoplay"", ""NOW"", ""Telecine Play""]"
"Any[""Ação"", ""Terror"", ""Thriller""]",2022-08-11,6.7,56000000,14,A Fera,"[""Globoplay""]"
"Any[""Comédia""]",1976-01-01,4.0,0,Sem classificação,Un toro da monta,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama"", ""Terror"", ""Ficção científica"", ""Thriller""]",2013-06-20,6.8,531865000,14,Guerra Mundial Z,"[""Netflix"", ""Globoplay"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Aventura"", ""Família""]",2020-02-05,8.8,0,Sem classificação,De grote slijmfilm,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Família""]",2018-06-14,7.5,1242805359,L,Os Incríveis 2,"[""Disney Plus""]"
"Any[""Drama""]",2000-03-16,7.4,14493284,14,Malèna,"[""Oldflix""]"
"Any[""Ação"", ""Terror"", ""Thriller""]",2016-06-29,6.4,118587880,16,12 Horas para Sobreviver: O Ano da Eleição,"[""Amazon Prime Video"", ""Star Plus"", ""Paramount Plus"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2021-06-17,7.9,49750471,Sem classificação,Luca,"[""Disney Plus""]"
"Any[""Ação"", ""Animação"", ""Ficção científica""]",1995-07-15,7.2,24000000,Sem classificação,Dragon Ball Z: O Ataque do Dragão,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Romance""]",2023-07-27,8.1,0,Sem classificação,"Vermelho, Branco e Sangue Azul","[""Amazon Prime Video""]"
"Any[""Terror""]",1973-12-26,7.7,441400000,18,O Exorcista,"[""Amazon Prime Video"", ""HBO Max""]"
"Any[""Aventura"", ""Animação"", ""Drama"", ""Família""]",1999-06-18,7.4,448200000,L,Tarzan,"[""Disney Plus""]"
"Any[""Ação"", ""Thriller""]",2020-04-24,7.4,0,Sem classificação,Resgate,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Drama"", ""Romance""]",2014-06-20,7.5,0,Sem classificação,Desculpe Se Eu Te Chamar de Amor,"[""HBO Max""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica"", ""Thriller""]",1987-06-12,7.5,98267558,16,O Predador,"[""Star Plus"", ""Oldflix""]"
"Any[""Ação""]",2020-09-29,1.3,0,Sem classificação,Agent Jade Black,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Fantasia"", ""Guerra""]",2023-07-20,7.3,357736908,Sem classificação,Criação dos Deuses I: Reino das Tempestades,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Fantasia""]",2016-10-25,7.4,676343174,12,Doutor Estranho,"[""Disney Plus""]"
"Any[""Drama"", ""Romance""]",2004-06-25,7.9,115603229,14,Diário de uma Paixão,"[""HBO Max"", ""Oi Play""]"
"Any[""Comédia"", ""Família""]",2004-10-21,7.2,10,Sem classificação,Chestnut: O Herói do Central Park,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Drama"", ""Guerra""]",2014-03-05,6.1,337580051,16,300: A Ascensão do Império,"[""Amazon Prime Video"", ""HBO Max""]"
"Any[""Comédia"", ""Drama""]",1986-11-04,5.6,0,Sem classificação,A Iniciação,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Terror"", ""Thriller""]",2023-10-18,5.3,0,Sem classificação,Terror nas Profundezas,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Drama"", ""Guerra""]",2019-03-21,7.6,4944386,Sem classificação,Heróis de Guerra,"[""Looke"", ""Looke Amazon Channel""]"
"Any[""Comédia"", ""Drama"", ""Romance"", ""Cinema TV""]",2023-11-26,0.0,0,Sem classificação,A Christmas for the Ages,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Drama"", ""Romance""]",2023-04-04,6.6,0,16,Belo Desastre,"[""Amazon Prime Video""]"
"Any[""Ação"", ""História""]",2023-04-21,6.9,0,Sem classificação,Viking: Bloodlust,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Família""]",2004-10-27,7.7,631442092,L,Os Incríveis,"[""Disney Plus""]"
"Any[""Drama""]",1981-01-01,4.6,0,,Porno,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Fantasia""]",2016-03-23,6.0,873637528,12,Batman vs Superman: A Origem da Justiça,"[""HBO Max"", ""NOW""]"
"Any[""Drama"", ""Faroeste""]",2012-12-25,8.2,425368238,14,Django Livre,"[""Amazon Prime Video"", ""Netflix"", ""Paramount Plus"", ""Globoplay"", ""NOW"", ""Paramount+ Amazon Channel"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Aventura"", ""Animação"", ""Fantasia""]",1997-07-12,8.3,169000000,14,Princesa Mononoke,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Drama"", ""Romance""]",2017-02-28,5.8,0,Sem classificação,사촌여동생,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura""]",1989-05-24,7.8,474171806,L,Indiana Jones e a Última Cruzada,"[""Disney Plus"", ""Amazon Prime Video"", ""Paramount Plus"", ""Globoplay"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Drama""]",2021-01-28,8.2,0,Sem classificação,Palmer,"[""Apple TV Plus""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Família"", ""Fantasia""]",2023-10-21,6.9,0,Sem classificação,"Miraculous World: Paris, As Aventuras De Shadybug e Claw Noir","[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Fantasia""]",1999-04-16,6.9,415885488,12,A Múmia,"[""Netflix"", ""Star Plus"", ""Globoplay"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia"", ""Romance""]",1997-06-20,7.5,252712101,L,Hércules,"[""Disney Plus""]"
"Any[""Ação"", ""Drama""]",2016-08-01,7.1,0,Sem classificação,Boyka: O Imbatível,"[""Amazon Prime Video"", ""Globoplay"", ""NOW"", ""Telecine Play""]"
