generos,data_lancamento,avaliacao_usuarios,receita,classificacao,titulo,streaming
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2023-06-13,6.8,268375616,14,The Flash,"[""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2023-03-22,7.8,426978565,16,John Wick 4: Baba Yaga,"[""Amazon Prime Video""]"
"Any[""Aventura"", ""Ficção científica"", ""Thriller""]",2014-11-19,6.8,755356711,14,Jogos Vorazes: A Esperança - Parte 1,"[""Amazon Prime Video"", ""Netflix"", ""Netflix basic with Ads"", ""Amazon Prime Video"", ""Telecine Play""]"
"Any[""Ação"", ""Drama""]",2023-07-03,8.1,247800000,14,Som da Liberdade,"[""NOW""]"
"Any[""Ação"", ""Animação"", ""Crime"", ""Mistério""]",2023-04-14,6.6,0,Sem classificação,名探偵コナン 黒鉄の魚影（サブマリン）,"[""Sem informações de streaming""]"
"Any[""Terror""]",2023-10-04,6.2,134800000,16,O Exorcista: O Devoto,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2023-05-03,8.0,845430302,14,Guardiões da Galáxia: Vol. 3,"[""Disney Plus""]"
"Any[""Comédia""]",2023-09-14,8.5,0,Sem classificação,Welcome al Norte,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Romance""]",2023-11-17,5.7,0,Sem classificação,Novos Ricos,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2022-12-07,8.3,484700000,L,Gato de Botas 2: O Último Pedido,"[""Globoplay"", ""NOW""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2018-04-25,8.3,2052415039,12,Vingadores: Guerra Infinita,"[""Disney Plus""]"
"Any[""Ação"", ""Drama"", ""Guerra""]",2019-01-11,7.2,0,Sem classificação,Uri: The Surgical Strike,"[""Sem informações de streaming""]"
"Any[""Terror"", ""Thriller""]",2023-07-26,7.2,90600000,16,Fale Comigo,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Animação"", ""Família"", ""Fantasia""]",2023-03-02,7.3,17300000,L,Mavka: Aventura na Floresta,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Drama"", ""Thriller""]",2023-09-29,6.7,7807,Sem classificação,Muzzle,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica"", ""Thriller""]",2008-08-20,5.6,72109200,Sem classificação,Missão Babilônia,"[""Star Plus""]"
"Any[""Drama"", ""Romance""]",2023-09-13,7.0,9700000,Sem classificação,After: Para Sempre,"[""NOW""]"
"Any[""Comédia"", ""Família"", ""Fantasia""]",2000-11-17,6.7,345823040,L,O Grinch,"[""Amazon Prime Video"", ""Claro video"", ""Globoplay"", ""NOW"", ""Telecine Play""]"
"Any[""Terror"", ""Thriller""]",2023-07-26,7.2,90600000,16,Fale Comigo,"[""Sem informações de streaming""]"
"Any[""Terror""]",2023-04-23,7.0,0,Sem classificação,The Elevator,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Comédia"", ""Família""]",2023-05-12,7.4,0,Sem classificação,Rally Road Racers,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Animação"", ""Família"", ""Fantasia""]",2021-04-02,7.1,13000000,Sem classificação,O Rei Macaco: Renascer,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Família""]",2022-03-30,5.0,0,Sem classificação,Zeppos: Het Mercatorspoor,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2022-12-02,4.1,0,Sem classificação,Renegades,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Thriller""]",2023-09-29,7.5,0,Sem classificação,Destinos à Deriva,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Aventura""]",2023-06-28,6.7,383922132,14,Indiana Jones e A Relíquia do Destino,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Mistério"", ""Thriller""]",2015-03-17,5.1,0,Sem classificação,A Equipe da Noite,"[""Looke""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Comédia""]",2018-08-25,7.2,0,Sem classificação,One Piece: Episódio de Skypiea,"[""Amazon Prime Video"", ""Netflix"", ""Netflix basic with Ads""]"
"Any[""Animação"", ""Família""]",2021-08-04,5.4,0,Sem classificação,A Volta ao Mundo em 80 Dias,"[""Globoplay""]"
"Any[""Drama""]",2023-10-19,7.6,18600000,Sem classificação,Radical,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Família"", ""Fantasia""]",2023-11-17,7.1,0,Sem classificação,Um Chamado Natalino,"[""Disney Plus""]"
"Any[""Aventura"", ""Comédia"", ""Família"", ""Fantasia""]",2023-11-24,5.6,0,Sem classificação,"Trip, O Elfo Construtor","[""Amazon Prime Video""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2022-11-09,7.2,859102154,12,Pantera Negra: Wakanda para Sempre,"[""Disney Plus""]"
"Any[""Ação"", ""Guerra""]",2023-10-26,6.1,0,Sem classificação,Boudica,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Fantasia""]",2023-12-20,0.0,0,,Aquaman 2: O Reino Perdido,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Drama"", ""Família""]",2015-06-09,7.9,857611174,L,Divertida Mente,"[""Disney Plus""]"
"Any[""Terror""]",2023-07-28,3.0,0,Sem classificação,1962 Halloween Massacre,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Família"", ""Fantasia"", ""Romance""]",2023-05-18,6.5,569600000,,A Pequena Sereia,"[""Disney Plus""]"
"Any[""Drama""]",2023-10-19,7.6,18600000,Sem classificação,Radical,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2018-11-08,6.8,508600000,L,O Grinch,"[""Amazon Prime Video"", ""Netflix"", ""Globoplay"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Mistério"", ""Thriller""]",2015-03-17,5.1,0,Sem classificação,A Equipe da Noite,"[""Looke""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2022-11-09,7.2,859102154,12,Pantera Negra: Wakanda para Sempre,"[""Disney Plus""]"
"Any[""Drama""]",2022-03-02,6.4,0,16,Bem-vindos a Bordo,"[""MUBI""]"
"Any[""Ação"", ""Drama"", ""Romance""]",1999-09-25,6.1,0,Sem classificação,Inferno,"[""TNTGo"", ""NOW""]"
"Any[""Ação"", ""Guerra""]",2023-10-26,6.1,0,Sem classificação,Boudica,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Família"", ""Fantasia""]",2023-12-06,0.0,0,,Wonka,"[""Sem informações de streaming""]"
"Any[""Comédia"", ""Família"", ""Fantasia""]",2023-11-17,7.1,0,Sem classificação,Um Chamado Natalino,"[""Disney Plus""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Drama"", ""Família""]",2015-06-09,7.9,857611174,L,Divertida Mente,"[""Disney Plus""]"
"Any[""Animação"", ""Comédia"", ""Família"", ""Fantasia"", ""Ficção científica"", ""Cinema TV""]",2004-05-07,7.0,0,Sem classificação,Jimmy Timmy Power Hour,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2022-10-19,7.0,393252111,14,Adão Negro,"[""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Terror"", ""Thriller""]",2013-01-03,5.5,47340586,18,O Massacre da Serra Elétrica 3D: A Lenda Continua,"[""Amazon Prime Video"", ""Netflix"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Animação""]",2011-09-13,6.9,0,Sem classificação,Thriller Night,"[""Sem informações de streaming""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2023-11-16,6.2,29100000,18,Feriado Sangrento,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Comédia"", ""Drama"", ""Família""]",2024-06-13,0.0,0,,Divertida Mente 2,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Animação"", ""Família"", ""Fantasia"", ""Música"", ""Romance""]",2023-07-05,7.8,38955339,Sem classificação,Miraculous: As Aventuras de Ladybug - O Filme,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Drama""]",2022-05-24,8.2,1488732821,12,Top Gun: Maverick,"[""Paramount Plus"", ""Globoplay"", ""NOW"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Ação"", ""Faroeste""]",2023-01-13,4.3,0,Sem classificação,Gunfight at Rio Bravo,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2019-04-24,8.3,2800000000,12,Vingadores: Ultimato,"[""Disney Plus""]"
"Any[""Animação"", ""Comédia"", ""Drama"", ""Família""]",2024-06-13,0.0,0,,Divertida Mente 2,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama""]",2022-05-24,8.2,1488732821,12,Top Gun: Maverick,"[""Paramount Plus"", ""Globoplay"", ""NOW"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2013-11-15,7.4,865011746,14,Jogos Vorazes: Em Chamas,"[""Amazon Prime Video"", ""Netflix"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Comédia"", ""Romance"", ""Cinema TV""]",2023-11-17,6.8,0,Sem classificação,EXmas,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2009-01-09,6.0,0,Sem classificação,Jogo Entre Ladrões,"[""Sem informações de streaming""]"
"Any[""Drama""]",2022-03-02,6.4,0,16,Bem-vindos a Bordo,"[""MUBI""]"
"Any[""Aventura"", ""Animação"", ""Família""]",2023-06-15,7.6,0,L,O Encontro de Carl,"[""Disney Plus""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2023-09-20,4.5,0,Sem classificação,The Jester,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Mistério"", ""Ficção científica"", ""Thriller""]",2014-09-10,7.2,348319861,14,Maze Runner: Correr ou Morrer,"[""Star Plus""]"
"Any[""Crime"", ""Drama"", ""História""]",2023-10-18,7.7,151800000,14,Assassinos da Lua das Flores,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2012-04-25,7.7,1518815515,12,Os Vingadores: The Avengers,"[""Disney Plus""]"
"Any[""Aventura"", ""Fantasia""]",2002-11-13,7.7,876688482,L,Harry Potter e a Câmara Secreta,"[""HBO Max""]"
"Any[""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2023-06-28,7.4,43716515,L,Ruby Marinho - Monstro Adolescente,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Comédia"", ""Família"", ""Ficção científica""]",2023-06-27,6.7,0,Sem classificação,R.A.D.A.R.: The Adventures of the Bionic Dog,"[""Sem informações de streaming""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2023-11-16,6.2,29100000,18,Feriado Sangrento,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2015-11-18,6.9,653428261,14,Jogos Vorazes: A Esperança - O Final,"[""Amazon Prime Video"", ""Netflix"", ""NOW"", ""Starz Play Amazon Channel"", ""Netflix basic with Ads"", ""Lionsgate Plus"", ""Telecine Play""]"
"Any[""Ação"", ""Comédia"", ""Fantasia""]",2022-07-06,6.5,760928081,14,Thor: Amor e Trovão,"[""Disney Plus""]"
"Any[""Aventura"", ""Família"", ""Fantasia""]",2005-12-07,7.1,745013115,12,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa","[""Disney Plus"", ""GOSPEL PLAY""]"
"Any[""Comédia"", ""Terror"", ""Thriller""]",2023-08-30,4.5,0,Sem classificação,Garras Vorazes,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Família"", ""Fantasia""]",2005-12-07,7.1,745013115,12,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa","[""Disney Plus"", ""GOSPEL PLAY""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2019-04-24,8.3,2800000000,12,Vingadores: Ultimato,"[""Disney Plus""]"
"Any[""Ação"", ""Comédia""]",2023-10-05,6.5,8000000,Sem classificação,Freelance,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2014-09-24,7.3,192330738,16,O Protetor,"[""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Comédia"", ""Crime"", ""Thriller""]",2023-09-14,6.2,476375,Sem classificação,The Kill Room,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2009-01-09,6.0,0,Sem classificação,Jogo Entre Ladrões,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Comédia"", ""Família"", ""Ficção científica""]",2023-06-27,6.7,0,Sem classificação,R.A.D.A.R.: The Adventures of the Bionic Dog,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Comédia"", ""Família""]",2022-03-30,7.6,405421518,10,Sonic 2: O Filme,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2023-02-15,6.4,476071180,L,Homem-Formiga e a Vespa: Quantumania,"[""Disney Plus""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2023-09-20,4.5,0,Sem classificação,The Jester,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama"", ""Ficção científica""]",2023-11-03,8.2,14000000,,Godzilla Minus One,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama"", ""Guerra""]",2023-05-19,4.7,0,Sem classificação,Come Out Fighting,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Animação"", ""Fantasia""]",2023-10-17,7.0,0,Sem classificação,Mortal Kombat Legends: Cage Bom de Luta,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2015-05-13,7.6,378858340,16,Mad Max: Estrada da Fúria,"[""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Drama"", ""Romance""]",1997-11-18,7.9,2264162353,12,Titanic,"[""Star Plus""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2023-04-21,3.5,0,Sem classificação,Space Wars: Quest for the Deepstar,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Família"", ""Fantasia""]",1993-10-09,7.8,75634409,L,O Estranho Mundo de Jack,"[""Disney Plus""]"
"Any[""Aventura"", ""Ficção científica"", ""Cinema TV""]",2010-01-30,4.6,0,Sem classificação,Tempestade de Meteoros,"[""Sem informações de streaming""]"
"Any[""Crime"", ""Mistério"", ""Thriller""]",2022-03-01,7.7,771000000,14,Batman,"[""Amazon Prime Video"", ""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Comédia"", ""Drama""]",2023-10-27,8.0,0,,Os Rejeitados,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2021-10-13,7.6,253000000,L,Encanto,"[""Disney Plus""]"
"Any[""Ação"", ""Drama"", ""Ficção científica""]",2023-11-03,8.2,14000000,,Godzilla Minus One,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Fantasia""]",2014-12-10,7.3,956019788,12,O Hobbit: A Batalha dos Cinco Exércitos,"[""Amazon Prime Video"", ""Telecine Play""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2019-11-20,7.3,1450000000,L,Frozen 2,"[""Disney Plus""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2023-09-08,6.2,0,Sem classificação,Megalomaniac,"[""Sem informações de streaming""]"
"Any[""Terror"", ""Thriller""]",2023-10-05,7.3,547573,Sem classificação,Quando o Mal Chega,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2015-05-13,7.6,378858340,16,Mad Max: Estrada da Fúria,"[""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2010-07-15,8.4,825532764,14,A Origem,"[""HBO Max"", ""NOW""]"
"Any[""Ficção científica""]",2021-11-02,3.5,0,Sem classificação,The Immortal Wars: Rebirth,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama"", ""História""]",2020-09-23,7.5,1516150,Sem classificação,O Espadachim,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Romance""]",1997-11-18,7.9,2264162353,12,Titanic,"[""Star Plus""]"
"Any[""Animação"", ""Família"", ""Fantasia""]",1993-10-09,7.8,75634409,L,O Estranho Mundo de Jack,"[""Disney Plus""]"
"Any[""Ação"", ""Drama""]",2023-10-25,6.5,0,Sem classificação,Lutadora Implacável,"[""Amazon Prime Video""]"
"Any[""Drama"", ""Ficção científica""]",2017-10-04,7.5,259239658,14,Blade Runner 2049,"[""Netflix"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Ação"", ""Mistério"", ""Ficção científica"", ""Thriller""]",2023-05-11,6.4,9464308,16,Hypnotic: Ameaça Invisível,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Fantasia""]",2011-07-12,8.1,1341511219,12,Harry Potter e as Relíquias da Morte - Parte 2,"[""HBO Max"", ""NOW""]"
"Any[""Aventura"", ""Fantasia""]",2009-07-15,7.7,933959197,12,Harry Potter e o Enigma do Príncipe,"[""HBO Max""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2012-04-25,7.7,1518815515,12,Os Vingadores: The Avengers,"[""Disney Plus""]"
"Any[""Drama"", ""Thriller""]",2023-09-28,6.9,0,,A Filha do Rei do Pântano,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia"", ""Música""]",2017-10-27,8.2,800500000,12,Viva: A Vida é uma Festa,"[""Disney Plus""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2021-05-25,7.5,206431050,14,Invocação do Mal 3: A Ordem do Demônio,"[""Amazon Prime Video"", ""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2010-07-15,8.4,825532764,14,A Origem,"[""HBO Max"", ""NOW""]"
"Any[""Terror""]",2021-12-10,4.1,0,Sem classificação,Agnes,"[""NOW""]"
"Any[""Ação"", ""Aventura"", ""Fantasia"", ""Ficção científica""]",2009-12-15,7.6,2923706026,10,Avatar,"[""Disney Plus""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2019-11-20,7.3,1450000000,L,Frozen 2,"[""Disney Plus""]"
"Any[""Aventura"", ""Fantasia""]",2007-07-08,7.7,938212738,L,Harry Potter e a Ordem da Fênix,"[""HBO Max""]"
"Any[""Ação"", ""Mistério"", ""Ficção científica"", ""Thriller""]",2023-05-11,6.4,9464308,16,Hypnotic: Ameaça Invisível,"[""Sem informações de streaming""]"
